,Tipo de inmueble,Modalidad,Precio UF,Precio CLP,Comuna,Baños,Dormitorios,Descripcion
23,Casa,comprar,"3.570,23",100.000.000,Santiago,1,2,"vendo casa con 2 dormitorio y 1 baño, cocina, living comedor, ubicada santa rosa con av Matta cerca del metro av matta"
24,Casa,comprar,"1.606,60",45.000.000,Puente Alto,1,3,"Se vende casa en $45.000.000 conversable, ubicada en la comuna de puente alto, de 2 pisos, 3 dormitorios entrada para 1 vehículo (pequeño), 1 baño, cocina, living, comedor y patio trasero. Ubicada en sector Villa Sargento Menadier II, cercano a colegios, consultorio, jardín infantil, sala cuna, comisaria, bomberos, parque Juan Pablo II, locomoción colectiva a 1 cuadra, ferias libres 4 días a la Semana a 2 cuadras, cercana a Eyzaguirre y Santa Rosa. Contactarse vía whatsapp al +5699372718 o +56949311217"
25,Casa,comprar,"1.713,71",48.000.000,La Cisterna,1,1,"Se vende terreno en la comuna de la cisterna (al contado) ubicada en el paradero 27 1/2 de gran avenida a cuadras de la nueva estación de metro linea 2 el terreno es de  157 m2.  9.50 ancho  largo 16.50 Esta saneada, Único dueño. Patente de almacén vigente, con Caseta de 6 metros cuadrados baño y cocina,con una edificación ligera (madera) sector con buena plusvalía cerca de supermercado y negocios el sector es muy tranquilo"
26,Casa,comprar,"1.249,58",35.000.000,La Pintana,1,1,Se vende casa con segundo piso con 3 habitaciones y 1 por terminar 1 baño living comedor cocina con estacionamiento para vehiculo pequeño llamar al numero 935056109 solo interesados
27,Casa,comprar,"1.999,33",56.000.000,Santiago,1,3,"Se vende sitio esquina y casa estructura en Carlos Valencia 6042, comuna de Lo Prado. Características: Metros de Construcción: 36Metros de superficie: 167AntejardínEstacionamiento para tres vehículos Patio Lateral Patio traseroEntorno privilegiado, excelente conectividad accesibilidad a través de la avenida Neptuno, Metro Neptuno dos cuadras (línea 1) colegios, supermercado Lider, comercio, carabineros, hospitales, excelente sectorSe acepta crédito hipotecario, subsidio habitacional, y de contado. - Precio Oferta: 56.000.000 + Comisión del Corredor. Contáctanos: Fono: +56 9 79904483Lissette Vera Barichivich Vera Abogados Propiedades."
28,Casa,comprar,"6.426,43",180.000.000,La Florida,2,3,"Se vende hermosa casa esquina, emplazada en barrio residencial, tranquilo, excelente conectividad,  cercano Centro comercial Mall Vivo, cercano metro línea 5, locomoción.Descripción: cuenta con 3 dormitorios , 2 baños,  living, comedor, cocina con comedor de diario, patio trasero con quincho, antejardín, estacionamiento 2 autos.Supermercado Unimarc, colegios, comercio, farmacias."
29,Casa,comprar,"5.248,25",147.000.000,Puente Alto,2,4,"Vende casa, ubicada en av. La Florida con Diego portales hacia la cordillera, sector Lo Planella.Cuenta con aproximadamente 140m2 edificados y 270 de terreno, está emplazada en un tranquilo sector residencial, La Dehesa de la Viña, Alto Lo Planella. Rodeada de áreas verdes, juegos infantiles, miradores, con seguridad 24hrs, acceso controlado y cámaras de vigilancia, pagando un gasto común de sólo 20 mil pesos.1er piso: amplio living y comedor, cocina americana y arranques sanitarios para hacer un tercer baño. Todo con revestimientos cerámicos.2do piso: tres dormitorios con pisos laminados y dos baños con revestimiento cerámico.3er piso: mansarda o cuarto dormitorio de aproximadamente 45m2 alfombrada, con arranques sanitario para un cuarto baño."
30,Casa,comprar,"1.963,63",55.000.000,Puente Alto,1,4,"Excelente oportunidad! amplia propiedad  Pte. AltoSe vende hermosa y amplia propiedad de dos pisos, en Tocornal  ex Pedro Duarte, comuna de Puente Alto. Excelente conectividad a 5 minutos en colectivo Metro Plaza Puente Alto, cercano a colegio y supermercado.   4 Dormitorios, 1 Baño, 2 EstacionamientosCaracterísticas: _Living comedor (pisoi cerámico)_Cocina amoblada_4 Dormitorios_1 Walking closet_1 Baño_Protecciones_Ampliación90 Mts2 Construídos87 Mts2 TerrenoValor $ 55.000.000  + 2% ComisiónVende Home Gestión Inmobiliaria                                                                                                                                                           Paulina Guajardo                                                                                                                                         9 99292713Bárbara Martínez"
31,Casa,comprar,"1.927,92",54.000.000,Santiago,1,2,"Casa ubicada en el paradero 23 de La Florida, de dos pisos , cuenta con dos habitaciones, un baño, living-comedor, cocina, estacionamiento dos autos, amplio patio trasero, antejardin , Calles Principales, México con San josé de La Estrella."
32,Casa,comprar,"4.284,28",120.000.000,Maipú,2,3,"Se vende casa esquina en villa Las Tinajas, cercana a colegios y parques. Estacionaiento lateral techado. Superficie edificada: 90m2 Superficie terreno: 160m2 Living comedor separados Dormitorios: 3 Baños: 2 Piso flotante o laminado en toda la casa."
33,Casa,comprar,"2.106,44",59.000.000,Quilicura,1,2,"Por urgenciaPreciosa casa en QuilicuraDos dormitorios, baño, sala living y comedor, cocina ampliada hacia afuera, patio posterior techado. Entrada de auto.Villa muy tranquila y seguraAcepto oferta contado+56979889881+56957323026"
34,Casa,comprar,"1.606,60",45.000.000,Puente Alto,2,3,Se vende casa en puente alto a 45.000.000 de 2 pisos interesados llamar al 9 87721316
35,Departamento,comprar,"2.534,86",71.000.000,Recoleta,1,1,"Departamento con excelente ubicación a pasos de metro estación Cerro Blanco, a pasos de Av. Perú, barrio Bellavista, clínica Davila, Vega Central. Posee 1 dormitorio, cocina cerrada, tiene 1 estacionamiento y 1 bodega. Se ubica en el piso 6, vista sur oriente. Gastos comunes de $55.000 aprox. Inversionistas, el departamento tiene excelente canon de arriendo por su ubicación y por tener estacionamiento. Agenda tu visita ahora ya."
36,Departamento,comprar,"4.700,00",131.643.851,Ñuñoa,2,2,"En el corazón del tradicional Barrio Italia!!! Cómodo e impecable departamento en excelente estado. Cuenta con hall de entrada, living comedor con espaciosa terraza, dos dormitorios con el principal en suite con dos closet separados y baño. En segundo dormitorio cabe cama de 1 ½ plaza más escritorio. Baño en pasillo. Cocina independiente con muy buenos muebles, lavaplatos doble, encimera a gas de 4 platos, horno eléctrico y campana. Logia con conexión a lavadora y espacio para secadora. INCLUYE BODEGA Y ESTACIONAMIENTO. Calefacción por losa radiante.El edificio cuenta con excelente piscina rodeada de áreas verdes, lavandería, gimnasio y sala de eventos con cocina equipada.Excelente conectividad, a sólo 7 minutos caminando de Metro Estación Santa Isabel y Metro Estación Irarrázaval, transporte público a 5 minutos desde la propiedad. A sólo dos cuadras de Barrio Italia con una amplia oferta de restaurantes, arte y decoración."
37,Casa,comprar,"4.962,63",139.000.000,Quilicura,2,4,Linda casa en condominio seguridad 24/7 tiene 4 dormitorios más sala de estar dormitorio principal en suite con baño primer piso 3 dormitorios en 2 piso con baño más sala estar cocina grande con muebles empotrados quincho y piscina
38,Casa,comprar,"2.320,65",65.000.000,Maipú,1,3,"3 dorm, 1 baño, living comedor, cocina, escalera caracol, protecciones en ventanas, calefont, patio con radier, jardín frontis, estacionamiento 2 autos."
39,Casa,comprar,"5.998,00",168.000.000,Pirque,2,4,"Vendo casa en Hernan prieto (el principal de pirque) se encuentra en un recinto privado muy tranquilo. la casa cuenta con living y comedor amplios, 6 dormitorios, 2 baños, Cocina equipada con muebles, lavadero, estacionamiento techado y piscina180 m2 construidos1500 m2 superficie de terrenoCuenta con (ROL PROPIO) agua  y luzVende su dueñoSolo contado."
40,Casa,comprar,"7.000,00",196.065.310,Peñalolén,3,4,"Vendo Parcela de 5.000 mts2, en Condominio con acceso controlado, ubicada en Algarrobo, Valparaíso!! Casa estilo mediterráneo, sólida, ventanas de PVC, vigas a la vista, cuenta con 5 dormitorios y 3 baños completos incluido lavadero!! Contactar al +569 76259510 Venta directa con Dueño!!Valor 7.000 UF Conversable!!"
41,Departamento,comprar,"3.034,70",85.000.000,Santiago,1,2,"La Mejor Ubicacion - Hermosa VistaPara Inversionistas o para Vivir.2 Dormitorios + Estacionamiento y BodegaCocina Amoblada y Equipada + mesón ComedorBaño + Instalacion para Lavadora y TermoEdificio cuenta con Piscina, Estacionamiento para Visitas, Lavandería y Gimnasio.Gastos Comunes : $ 65.000.- Piso 18Estaciones de Metro : Linea 5 : Irarrazabal y Linea 3Coordinar Visitas: +569 777 97 322"
42,Casa,comprar,"2.820,48",79.000.000,Padre Hurtado,2,3,"Hermosa casa en venta, espectacular vivienda ubicada en Condominio Tierraviva, Padre Hurtado   No solo es una propiedad, es tu sueño. Imagina si buscas comodidad, seguridad y por sobre todo tranquilidad ésta casa es para ti.Valor venta $ 79.000.000 aprox. Imagina vivir y/o invertir en esta propiedad ya que por sus metros de terreno es apta para cualquier tipo de inversión, Cercano a todo.¡No esperes más! Ésta es tú oportunidad de adquirir este bien inmueble apta para inversiones. Propiedad ubicada en Brasilia, Padre Hurtado, Región Metropolitana, a un costado de Camino Melipilla.El inmueble cuenta con buena conectividad en locomoción. Emplazada en el área urbana de la comuna de Padre Hurtado, en un sector consolidado con una baja densidad de población, además con comercios de buena calidad ambiental, supermercados, colegios   .Plaza de Armas y Municipalidad a un costado de condominio.La edificación del inmueble se encuentra en buen estado de conservación, consta de 2 pisos completamente sólidos. Superficie construida 98 mts2. Paño del terreno 120 mts2. Cuenta con variadas habitaciones, te da la tranquilidad y la seguridad que necesitas.Espacios:- 3 habitaciones, 2 con closet y dos baños - Living y Comedor amplios separados. - Cocina americana, amoblada completa cuenta con campana, cocina encimera y horno empotrado.- Patio delantero completo con cerámica y cobertizo.- Patio trasero techado completo , logia completa techada.- Entrada principal cuanta con dos portones para entrada de autos , uno eléctrico el otro manual , capacidad 3 autos  VENDE Fono: #224001172+56975871422+56961408504"
43,Departamento,comprar,"3.564,88",99.850.000,Santiago,2,3,"Departamento de 70 metros cuadrados, a 4 cuadras del metro, hermosa vista oriente, living comedor amplio, terraza, cocina aislada, amoblada, con cocina encimera, campana y horno eléctrico, con espacio independiente para lavadora automática de gran tamaño. Tres dormitorios, dos de tamaño suficiente para camas de dos plazas y el tercero para cama de una plaza con velador que puede usarse como estudio. Dos baños con tina.Cuenta con un estacionamiento techado en el primer piso (número 18) y bodega amplia también en el primer piso (número 2).Ubicado en Carmen 297 departamento 1610. Edificio construido en el año 2009 y departamento adquirido en el año 2013 en excelente estado y con todos los documentos al día.Orientación sur- oriente con excelente vista a la cordillera y a la ciudad, despejada de edificios pues en frente se encuentra la edificación de la Universidad Silva Henríquez.Cercano al centro, universidades, colegios, hospitales y clínicas; con transporte público día y noche, cercano también al metro Diego de Almagro, Universidad de Chile y Universidad Católica.Todos los gastos comunes, dividendos (banco Santander) y cuentas domiciliarias se encuentran al día y el departamento se encuentra con reparaciones recientes y disponible para ser entregado en condiciones de habitarlo.No existe gasto de comisión de corredores para el comprador ya que vende su propio dueño.El edificio cuenta con Salón de eventos en el piso 18, Quinchos, cámaras de seguridad, conserjería 24 horas y lavandería.Interesados comunicarse al +56993091750 con don Juan Francisco Valles. Precio 99.800.000. se coordinan visitas de Lunes a Viernes desde las 14:00 y fines de semana todo el día."
44,Departamento,comprar,"714,04",20.000.000,Puente Alto,1,2,"Departamento acogedor en excelentes condiciones, sin deuda vende su única dueña"
45,Casa,comprar,"5.101,87",142.900.000,La Reina,3,4,"Se vende casa amplia de 2 pisos en barrio residencial de la comuna de La Reina. Características:- 220 m2 de terreno.- 140 m2 construidos.- 2 pisos.- 1 estacionamiento.- 6 dormitorios.- 3 baños.- Living y comedor por separado.- Cocina comoda.- Sala de estar.- Patio trasero y Antejardín.Excelente ubicación y conectividad. Barrio residencial a solo cuadras del Hospital Militar.En un par de meses el metro llegara hasta el Hospital Militar.Cercano a supermercados, farmacias, comercio y colegios. a solo 2 cuadras de Av. Alcalde Fernando Castillo Velasco.* Precio conversable a reales interesados.* Se acepta crédito hipotecario bancario.** No se cobra comisión.Contactar para programar visitas:+ 56 9 82586184 (también es whatsapp)."
46,Departamento,comprar,"2.350,00",65.821.925,Santiago,1,1,"Excelente  Ubicación, 2º piso, Orientación Sur, Metros Cercanos a dos Cuadras. Lavandería, Sala de evento, Gimnasio,Jardín Infantil Vitamina ,áreas Verdes.  Vende su Dueño . SOLO REALES INTERESADOS . Valor UF 2350.-               Calle Tarapacá 752. Stgo. Centro.-     FONOS: 994196635 - 994196451. Whatsapp +56"
47,Departamento,comprar,"1.856,52",52.000.000,Pudahuel,1,3,"Características• 3 dormitorios• 1 baño• 47.00 m²• Sin estacionamientoDescripción:Departamento ubicado en condominio Los viñedos de Santa Beatriz, en la comuna de Pudahuel, cercano a supermercados, comisaría, colegios, centros de Salud, centros comerciales y estaciones del metro línea 5 Barrancas y Laguna Sur.Fácil acceso a autopista Vespucio Sur y Norte y a ruta 68, locomoción colectiva muy fluida a 5 minutos del terminal de buses Pajaritos y a 10 minutos del Aeropuerto. La propiedad cuenta con 47 mts², ubicado en un 4to piso, consta con 3 dormitorios, 1 baño full cerámica, cocina americana y logia, GC aprox $23.000, El condominio cuenta con vigilancia las 24hrs, patio de juegos para niños y quinchos para asados, también hacemos referencia que el departamento se encuentra en inmejorable condición, la cocina se encuentra equipada con muebles aéreos y se superficie.Barros Propiedades    +56 9 6190 8235    +56 9 9547 6401    +56 9 6190 8242"
48,Departamento,comprar,"2.320,65",65.000.000,Santiago,1,2,A dos cuadras de la moneda en Calle Dr. Sótero del Río 326 departamento en piso 13.
49,Casa,comprar,"4.323,55",121.100.000,Puente Alto,3,4,"Espectacular y confortable propiedad, que cuenta con múltiples comodidades para que usted y su familia mantengan un excelente nivel de calidad de vida. Cercano a colegios, comercio, en un entorno precordillerano donde aún se respira vida de barrio. Cómodos y eficientes espacios. Anímese a conocer este inmueble, que puede ser suyo prontamente.Coordinar visita al 950037543 Carolina corredora de propiedades.debe considerar el 2% de comisión de corretaje."
50,Casa,comprar,"1.285,28",36.000.000,Maipú,1,4,"Se vende amplia y hermosa casa en maipu sector 4 poniente cerca de la comisaría 52,la casa consta con 7 habitaciones,1 baño,living,comedor,cocina y 2 balcones o terrazas a 36 millones más info al +56934967020"
51,Casa,comprar,"8.854,19",248.000.000,La Florida,3,4,"Se Vende amplia y cómoda casa aislada de dos pisos, de 168 mts² construidos, en terreno de 525 mts². 1er piso de material sólido, Hall de Entrada, luminoso Living y Comedor con piso flotante. Baño de visita. Cocina amoblada y equipada, cocina encimera, con cubierta de granito, horno eléctrico y comedor de diario. Dormitorio Matrimonial en suite, con Walking – Close, aire acondicionado, amplio baño con Jacuzzi. 2do piso con tres dormitorios, con piso flotante y un baño completo. Aire Acondicionado. Exterior patio de 300 metros, antejardín, piscina grande, terraza y barbeque con techo en doble altura. Logia, lavadero, bodega. Estacionamiento para 3 vehículos o más. Protecciones y Cerco Eléctrico. Sector consolidado, grato y tranquilo de excelente plusvalía y demanda. Cercano, pero no encima de Supermercado, Colegios, Bancos. Equidistante a Avda. La Florida y Avda. Vicuña Mackenna y a la Línea 4 del Metro, Estación Vicente Valdés. Valor de La Propiedad: $248.000.000 Conversable. Vende: Dueño, sin comisión."
52,Casa,comprar,"2.677,67",75.000.000,Pudahuel,2,3,"Vendo propiedad ideal negocio Excelente propiedad ubicada a pasos de Metro estación Laguna sur, exelente inversión,gran plusvalía en expansión.   Una planta  Living comedor separadosCocinaTres habitaciones principal en suite.Dos BañosCuarto de lavado conección gas 45 kilos.Entrada auto AntejardinPatio tracero . Valor $75.000.000 conversable. Disponibilidad inmediataCrédito Hipotecario Mutuo Hipotecario Contado . Contacto Karen López Móvil +56973098473  Reales integrados llamar para agendar visita.73098743"
53,Casa,comprar,"4.516,35",126.500.000,Puente Alto,3,4,"Magnífica y confortable propiedad ubicada en un sector central muy cotizado en Puente Alto y que cuenta con múltiples comodidades que le brindarán máximo confort y calidad de vida. Excelente accesibilidad y cercanía con colegios, comercio detallista, servicios, metro y supermercados. Decídase en convertir este inmueble en la residencia de su familia.Coordinar visita al 950037543 Carolina corredora de propiedades.debe considerar el 2% de comisión de corretaje."
54,Casa,comprar,"4.284,28",120.000.000,Maipú,1,3,"Casa con amplio terreno en barrio muy tranquilo y seguro. Con excelente conectividad, cercano a parques, colegios, universidades, mercado y supermercados."
55,Departamento,comprar,"2.856,19",80.000.000,Conchalí,2,2,"Lindo departamento REMODELADO , ubicado en avenida independencia a pasos de la estacion de metrp Vivaceta. Posee comodo living comedor, cocina, logia , 2 dormitorios, 2 baños, estacionamiento subterraneo y bodega."
56,Casa,comprar,"6.500,00",182.060.645,La Florida,3,4,"Casa Habitación, 1,5 cuadras metro Vicuña Mackenna269 mt2. superficie, 173, m2 construidos, antejardín, patio trasero, cocina amoblada, 4 estacionamientosterraza"
57,Casa,comprar,"2.677,67",75.000.000,Peñaflor,2,4,"Gran casa en tranquilo barrio. Movilización a 1 Cuadra calle 21 de Mayo.- 5 Dormitorios con Piso Flotante - 2 baños completos - Amplio living-comedor - Amplia cocina amoblada (no equipada)- Piso cerámica en living-comedor, cocina y baños - Amplio lavadero.La propiedad tiene aprox. 259 m2, con 131 m2 construidos, patio trasero y a un costado entran 2 vehículos.Vende Dueño fono 940329628 o al correo."
